X,Y,Point_ID,Height
513835.396,325721.989,HF_ROW943,0.836
513835.254,325722.802,HF_ROW942,1.422
513833.895,325725.06,HF_ROW941,1.444
513833.817,325726.437,HF_ROW940,1.452
513834.063,325729.649,HF_ROW939,-1.646
513834.112,325730.284,HF_ROW938,-0.794
513834.152,325730.94,HF_ROW937,-0.255
513833.147,325731.713,HF_ROW936,1.44
513832.865,325733.033,HF_ROW935,1.451
513833.39,325735.509,HF_ROW934,-1.145
513833.158,325736.905,HF_ROW933,-1.216
513833.056,325738.142,HF_ROW932,-1.096
513832.862,325739.635,HF_ROW931,-1.352
513832.272,325739.472,HF_ROW930,1.391
513832.692,325741.636,HF_ROW929,-0.696
513832.628,325743.013,HF_ROW928,-0.613
513832.553,325744.216,HF_ROW927,-0.543
513832.125,325745.925,HF_ROW926,-1.222
513831.519,325748.211,HF_ROW925,-2.301
513831.479,325749.473,HF_ROW924,-2.157
513831.442,325750.505,HF_ROW923,-1.952
513830.843,325749.882,HF_ROW922,1.506
513831.233,325752.602,HF_ROW921,-1.467
513831.292,325753.873,HF_ROW920,-1.451
513831.049,325754.98,HF_ROW919,-1.462
513830.852,325756.208,HF_ROW918,-1.43
513830.818,325757.595,HF_ROW917,-1.437
513830.767,325758.861,HF_ROW916,-1.463
513830.53,325760.002,HF_ROW915,-1.46
513830.168,325761.358,HF_ROW914,-1.434
513830.203,325762.764,HF_ROW913,-1.437
513829.975,325764.163,HF_ROW912,-1.403
513829.829,325765.404,HF_ROW911,-1.372
513830.061,325765.638,HF_ROW910,-0.603
513829.952,325766.99,HF_ROW909,-0.602
513829.827,325768.292,HF_ROW908,-0.6
513829.79,325769.756,HF_ROW907,-0.587
513829.521,325770.993,HF_ROW906,-0.604
513829.451,325772.29,HF_ROW905,-0.621
513829.274,325773.524,HF_ROW904,-0.618
513829.121,325774.915,HF_ROW903,-0.592
513828.934,325776.323,HF_ROW902,-0.61
513828.899,325777.558,HF_ROW901,-0.599
513828.58,325779.164,HF_ROW900,-0.624
513828.637,325780.149,HF_ROW899,-0.635
513828.704,325781.491,HF_ROW898,-0.586
513828.543,325782.166,HF_ROW897,-0.681
513828.346,325783.205,HF_ROW896,-0.742
513829.073,325783.727,HF_ROW895,-0.928
