X,Y,Point_ID,Height
506232.538,330476.224,LAU_R_279,60.649
506233.63,330476.525,LAU_R_278,60.618
506234.687,330476.872,LAU_R_277,60.599
506235.677,330477.148,LAU_R_276,60.573
506236.695,330477.57,LAU_R_275,60.57
506237.729,330477.867,LAU_R_274,60.574
506238.604,330478.127,LAU_R_273,60.505
506239.462,330478.404,LAU_R_272,60.516
506240.286,330478.707,LAU_R_271,60.51
506241.08,330478.987,LAU_R_270,60.502
506241.816,330479.237,LAU_R_269,60.513
506242.506,330479.507,LAU_R_268,60.516
506243.306,330479.72,LAU_R_267,60.476
506243.384,330479.765,LAU_R_266,60.471
506243.384,330479.766,LAU_R_265,60.466
506243.379,330479.745,LAU_R_264,60.459
506243.672,330479.792,LAU_R_263,60.468
506244.454,330480.079,LAU_R_262,60.461
506245.382,330480.405,LAU_R_261,60.465
506246.397,330480.724,LAU_R_260,60.457
506247.396,330481.054,LAU_R_259,60.444
506248.388,330481.336,LAU_R_258,60.453
506249.463,330481.7,LAU_R_257,60.443
506250.472,330482.05,LAU_R_256,60.443
506251.515,330482.326,LAU_R_255,60.412
506252.55,330482.68,LAU_R_254,60.423
506253.554,330482.957,LAU_R_253,60.412
506254.6,330483.324,LAU_R_252,60.42
506255.671,330483.643,LAU_R_251,60.394
506256.798,330484.006,LAU_R_250,60.397
506257.89,330484.349,LAU_R_249,60.404
506258.918,330484.701,LAU_R_248,60.385
506259.925,330485.025,LAU_R_247,60.377
506261.018,330485.344,LAU_R_246,60.37
506262.065,330485.725,LAU_R_245,60.36
506263.126,330486.065,LAU_R_244,60.354
506264.019,330486.389,LAU_R_243,60.337
506264.968,330486.651,LAU_R_242,60.332
506265.929,330486.916,LAU_R_241,60.334
506266.929,330487.198,LAU_R_240,60.317
506267.939,330487.497,LAU_R_239,60.299
506268.907,330487.806,LAU_R_238,60.295
506269.926,330488.13,LAU_R_237,60.285
506270.9,330488.393,LAU_R_236,60.279
506271.89,330488.698,LAU_R_235,60.279
506272.784,330488.987,LAU_R_234,60.257
506273.609,330489.221,LAU_R_233,60.259
506274.32,330489.437,LAU_R_232,60.24
506274.8,330489.64,LAU_R_231,60.243
506274.813,330489.633,LAU_R_230,60.232
506274.819,330489.717,LAU_R_229,60.241
506274.785,330489.975,LAU_R_228,60.251
506274.733,330490.12,LAU_R_227,60.229
506274.637,330490.397,LAU_R_226,60.219
506274.489,330490.492,LAU_R_225,60.212
506274.34,330490.53,LAU_R_224,60.207
506273.681,330490.317,LAU_R_223,60.225
506272.6,330489.99,LAU_R_222,60.262
506271.442,330489.652,LAU_R_221,60.25
506270.286,330489.301,LAU_R_220,60.258
506269.148,330488.954,LAU_R_219,60.271
506268.033,330488.617,LAU_R_218,60.303
506266.915,330488.273,LAU_R_217,60.329
506265.886,330487.999,LAU_R_216,60.297
506264.824,330487.68,LAU_R_215,60.314
506263.753,330487.339,LAU_R_214,60.328
506262.731,330486.992,LAU_R_213,60.346
506261.668,330486.69,LAU_R_212,60.356
506260.657,330486.333,LAU_R_211,60.369
506259.629,330486.032,LAU_R_210,60.369
506258.59,330485.691,LAU_R_209,60.369
506257.565,330485.325,LAU_R_208,60.361
506256.53,330485.053,LAU_R_207,60.398
